Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt7865090,7,2021-05-04,DARLING in the FRANXX,https://www.imdb.com/title/tt7865090/,tvSeries,7.3,24,2018,"Animation, Action, Drama, Romance, Sci-Fi",12758,2018-01-13,Unkown
tt7975244,7,2021-05-05,Jumanji: The Next Level,https://www.imdb.com/title/tt7975244/,movie,6.7,123,2019,"Action, Adventure, Comedy, Fantasy",271516,2019-12-04,Jake Kasdan
tt0807832,10,2021-05-04,Mushishi,https://www.imdb.com/title/tt0807832/,tvSeries,8.5,25,2005,"Animation, Drama, Fantasy, Horror, Mystery, Thriller",14222,2005-10-22,Unkown
tt8132700,1,2023-08-09,Behind the Curve,https://www.imdb.com/title/tt8132700/,movie,6.5,96,2018,Documentary,10543,2018-04-30,Daniel J. Clark
tt8242084,5,2021-05-05,My Spy,https://www.imdb.com/title/tt8242084/,movie,6.3,99,2020,"Action, Comedy",33436,2020-01-09,Peter Segal
tt0829150,7,2021-05-05,Dracula Untold,https://www.imdb.com/title/tt0829150/,movie,6.2,92,2014,"Action, Drama, Fantasy, Horror",203934,2014-09-30,Gary Shore
tt0837562,8,2023-08-21,Hotel Transylvania,https://www.imdb.com/title/tt0837562/,movie,7.0,91,2012,"Animation, Adventure, Comedy, Family, Fantasy, Horror, Romance",272533,2012-09-08,Genndy Tartakovsky
tt8398600,10,2023-08-09,After Life,https://www.imdb.com/title/tt8398600/,tvSeries,8.4,30,2019,"Comedy, Drama",147495,2019-03-08,Unkown
tt8740790,7,2023-08-09,Bridgerton,https://www.imdb.com/title/tt8740790/,tvSeries,7.4,60,2020,"Drama, Romance",158373,2020-12-25,Unkown
tt8788458,8,2021-05-04,Yakusoku no Neverland,https://www.imdb.com/title/tt8788458/,tvSeries,8.2,23,2019,"Animation, Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",44224,2019-01-09,Unkown
tt0898266,9,2021-05-04,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,tvSeries,8.2,22,2007,"Comedy, Romance",844246,2006-05-01,Unkown
tt8993398,7,2021-05-04,Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,https://www.imdb.com/title/tt8993398/,tvSeries,8.1,24,2018,"Animation, Drama, Fantasy, Mystery, Romance, Thriller",15245,2018-10-03,Unkown
tt0910970,9,2021-05-08,WALL·E,https://www.imdb.com/title/tt0910970/,movie,8.4,98,2008,"Animation, Adventure, Family, Sci-Fi",1168304,2008-06-21,Andrew Stanton
tt9310330,5,2021-08-07,Yasuke,https://www.imdb.com/title/tt9310330/,tvSeries,6.2,30,2021,"Animation, Action, Adventure, Drama, Fantasy, Thriller",5872,2021-04-29,Unkown
tt9335498,7,2023-08-21,Kimetsu no Yaiba,https://www.imdb.com/title/tt9335498/,tvSeries,8.6,24,2019,"Animation, Action, Adventure, Fantasy, Thriller",134323,2019-04-06,Unkown
tt9426210,7,2023-08-21,Tenki no ko,https://www.imdb.com/title/tt9426210/,movie,7.5,112,2019,"Animation, Drama, Fantasy, Romance",51269,2019-01-15,Makoto Shinkai
tt9446688,7,2023-08-09,I Am Not Okay with This,https://www.imdb.com/title/tt9446688/,tvSeries,7.5,30,2020,"Comedy, Drama, Fantasy, Sci-Fi",71601,2020-02-26,Unkown
tt0988824,7,2023-08-21,Naruto: Shippûden,https://www.imdb.com/title/tt0988824/,tvSeries,8.7,24,2007,"Animation, Action, Adventure, Comedy, Drama, Fantasy",147990,2007-02-15,Unkown
